Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,
Definition,0,file_id,manufacturer,1,,product,1,,serial_number,1,,time_created,1,,number,1,,type,1,,
Data,0,file_id,manufacturer,"1",,garmin_product,"1499",,serial_number,"3913181216",,time_created,"823931655",,number,"65535",,type,"4",,
Definition,0,activity,timestamp,1,,local_timestamp,1,,type,1,,event,1,,event_type,1,,,,,
Data,0,activity,timestamp,"823932883",,local_timestamp,"819936180",,type,"0",,event,"26",,event_type,"1",,,,,
Definition,1,session,message_index,1,,timestamp,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,total_cycles,1,,total_calories,1,,total_fat_calories,1,,avg_speed,1,,max_speed,1,,first_lap_index,1,,num_laps,1,,hi18n33,1,,pool_length,1,,hi18n78,1,,hi18n79,1,,hi18n80,1,,event,1,,event_type,1,,sport,1,,sub_sport,1,,avg_cadence,1,,max_cadence,1,,event_group,1,,trigger,1,,swim_stroke,1,,pool_length_unit,1,,
Data,1,session,message_index,"0",,timestamp,"823932883",s,start_time,"823931655",,total_elapsed_time,"1222.109",s,total_timer_time,"1222.109",s,total_distance,"1000.0",m,total_cycles,"598",cycles,total_calories,"248",kcal,total_fat_calories,"248",kcal,avg_speed,"0.818",m/s,max_speed,"65535",m/s,first_lap_index,"0",,num_laps,"1",,hi18n33,"20",,pool_length,"50.0",m,hi18n78,"1221870",,hi18n79,"299",,hi18n80,"91",,event,"8",,event_type,"1",,sport,"5",,sub_sport,"17",,avg_cadence,"29",rpm,max_cadence,"33",rpm,event_group,"0",,trigger,"0",,swim_stroke,"2",swim_stroke,pool_length_unit,"0",,enhanced_avg_speed,"0.818",m/s,enhanced_max_speed,"65.535",m/s,
Definition,2,lap,message_index,1,,timestamp,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,total_cycles,1,,total_calories,1,,total_fat_calories,1,,avg_speed,1,,max_speed,1,,num_lengths,1,,first_length_index,1,,avg_stroke_distance,1,,num_active_lengths,1,,hi19n70,1,,hi19n72,1,,hi19n73,1,,event,1,,event_type,1,,avg_cadence,1,,max_cadence,1,,lap_trigger,1,,sport,1,,swim_stroke,1,,hi19n64,1,,,,,,,,,,,,,,
Definition,3,event,timestamp,1,,data,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,record,timestamp,1,,distance,1,,speed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,5,length,message_index,1,,timestamp,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,total_strokes,1,,avg_speed,1,,event,1,,event_type,1,,swim_stroke,1,,avg_swimming_cadence,1,,length_type,1,,hi101n13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,7,hi24,hi24n2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,6,hi36,hi36n253,1,,hi36n16,1,,hi36n20,1,,hi36n21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,hi36,hi36n253,"4294967295",,hi36n16,"5",,hi36n20,"0",,hi36n21,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
